"lemma","count","strong","lexicon"
"Ὡσηέ",1,"G56170","{'brief': 'Hosea', 'long': 'Hosea, the Hebrew prophet.'}"
"Ῥεβέκκα",1,"G44790","{'brief': 'Rebecca', 'long': 'Rebecca, wife of the patriarch Isaac.'}"
"Σάρρα",4,"G45640","{'brief': 'Sarah', 'long': 'Sarah, wife of Abraham.'}"
"Εὕα",2,"G20960","{'brief': 'Eve', 'long': 'Eve, the first woman; wife of first man Adam.'}"
"Τίτος",13,"G51030","{'brief': 'Titus', 'long': 'Titus, a Greek Christian, helper of Paul, perhaps also brother of Luke.'}"
"Ἁγάρ",2,"G00280","{'brief': 'Hagar', 'long': 'Hagar, the servant of Sarah, concubine of Abraham.'}"
"Κολοσσαί",1,"G28570","{'brief': 'Colossae', 'long': 'Colossae, a town of the Roman province Asia, in the Lycus valley, near Laodicea and Hierapolis.'}"
"Λουκᾶς",3,"G30650","{'brief': 'Lucas, Luke', 'long': 'Lucas, Luke, Christian physician and writer of the Third Gospel and Acts.'}"
"Κάϊν",3,"G25350","{'brief': 'Cain', 'long': '(Hebrew), Cain, son of Adam and Eve and brother of Abel.'}"
"Γεδεών",1,"G10660","{'brief': 'Gideon', 'long': 'Gideon, one of the Judges of Israel.'}"
"Ἰεφθάε",1,"G24220","{'brief': 'Jephthah', 'long': '(Hebrew), Jephthah, one of the Judges of Israel.'}"
"Μελχισέδεκ",8,"G31980","{'brief': 'Melchizedek', 'long': 'Melchizedek, king and priest of Salem.'}"
"Σαμψών",1,"G45460","{'brief': 'Samson', 'long': 'Samson, one of the Judges of Israel.'}"
"Ἰώβ",1,"G24920","{'brief': 'Job', 'long': '(Hebrew), Job, the hero of the book of that name in the Old Testament.'}"
"Βαλαάμ",3,"G09030","{'brief': 'Balaam', 'long': 'Balaam, son of Beor of Pethor on the Euphrates, a soothsayer in the Old Testament.'}"
"Κόρε",1,"G28790","{'brief': 'Korah', 'long': '(Hebrew) Korah.'}"
"Μιχαήλ",2,"G34130","{'brief': 'Michael', 'long': 'Michael, an archangel.'}"
"Εὐφράτης",2,"G21660","{'brief': 'the Euphrates', 'long': 'the Euphrates, boundary river of the province Syria.'}"
"Γάδ",1,"G10450","{'brief': 'Gad', 'long': 'Gad, one of the twelve tribes of Israel.'}"
"Ἰσσαχάρ",1,"G24660","{'brief': 'Issachar', 'long': 'Issachar, a proper name.'}"
"Ἰεζάβελ",1,"G24030","{'brief': 'Jezebel', 'long': ""Jezebel, name given to a false prophetess of Thyatira, possibly borrowed from the name of Ahab's wife, queen of Israel.""}"
"Ῥουβήν",1,"G45020","{'brief': 'Reuben', 'long': 'Reuben, eldest son of the patriarch Jacob and founder of a tribe.'}"
